State,City,Crime_Type,Date,Time,Latitude,Longitude,Victim_Age,Victim_Gender
Tamil Nadu,Chennai,Theft,2023-12-21,10:18:00,13.102,80.28815,62.0,Female
Maharashtra,Nagpur,Kidnapping,2021-08-26,08:18:00,21.12048,79.05567,55.0,Male
Karnataka,Bengaluru,Domestic Violence,2024-04-13,16:36:00,12.98909,77.5828,18.0,Male
Karnataka,Mysuru,Theft,2023-10-26,21:44:00,12.29552,76.63535,61.0,Male
Gujarat,Ahmedabad,Vehicle Theft,2022-04-23,01:28:00,23.0241,72.57619,35.0,Male
Delhi,Rohini,Cybercrime,2022-04-11,05:20:00,28.72981,77.06169,15.0,Male
Karnataka,Mysuru,Vandalism,2022-07-04,21:54:00,12.31333,76.62597,58.0,Female
Uttar Pradesh,Kanpur,Assault,2024-01-03,10:33:00,26.44942,80.33134,16.0,Female
Maharashtra,Nagpur,Domestic Violence,2023-08-26,14:26:00,21.12218,79.05501,56.0,Male
Maharashtra,Mumbai,Theft,2023-02-24,18:38:00,19.09055,72.84467,64.0,Male
Uttar Pradesh,Noida,Theft,2023-02-14,21:42:00,28.50792,77.38185,57.0,Male
Gujarat,Ahmedabad,Cybercrime,2023-03-09,14:17:00,23.00438,72.52353,48.0,Male
Gujarat,Ahmedabad,robbery,2024-12-09,18:12:00,22.95156,72.60201,40.0,Male
Karnataka,Mysuru,Assault,2023-04-17,15:53:00,12.22368,76.61546,36.0,Male
Maharashtra,Mumbai,Assault,2021-04-08,04:06:00,19.02061,72.86334,57.0,Female
Maharashtra,Nagpur,Assault,2021-09-03,07:15:00,21.05409,79.04966,21.0,Male
Delhi,Dwarka,Vehicle Theft,2024-07-05,09:18:00,28.60031,77.05976,60.0,Male
Uttar Pradesh,Lucknow,Assault,2024-07-16,15:04:00,26.8604,80.98024,43.0,Female
Gujarat,Ahmedabad,Robbery,2021-01-27,20:42:00,23.00778,72.56182,60.0,Female
Maharashtra,Pune,Burglary,2024-06-15,18:25:00,18.5052,73.91406,16.0,Female
Gujarat,Surat,Theft,2023-10-26,01:17:00,21.17168,72.84588,41.0,Female
Uttar Pradesh,Noida,Assault,2022-01-10,08:31:00,28.54758,77.42873,53.0,Male
Telangana,Hyderabad,Assault,2021-02-22,20:12:00,17.39008,78.51699,48.0,Female
Telangana,Hyderabad,Theft,2021-07-01,02:02:00,17.38754,78.57002,29.0,Male
Karnataka,Mysuru,Theft,2024-08-10,18:50:00,12.28934,76.66335,34.0,Male
Gujarat,Surat,Theft,2022-07-04,09:33:00,21.18955,72.84965,53.0,Female
Tamil Nadu,Coimbatore,Fraud,2021-03-15,13:44:00,11.05328,77.00214,31.0,Female
Uttar Pradesh,Noida,Assault,2024-03-15,22:29:00,28.5794,77.42458,68.0,Female
Delhi,New Delhi,Kidnapping,2024-02-03,04:45:00,28.66179,77.19836,57.0,Female
Uttar Pradesh,Lucknow,Robbery,2021-11-18,06:45:00,26.83879,80.96971,63.0,Female
Tamil Nadu,Chennai,Robbery,2021-12-02,14:11:00,13.11669,80.26865,51.0,Male
Gujarat,Ahmedabad,Theft,2021-09-15,08:28:00,22.9882,72.55774,41.0,Male
Telangana,Warangal,Vehicle Theft,2022-08-17,17:11:00,17.95707,79.56802,50.0,Female
Maharashtra,Mumbai,Vehicle Theft,2022-12-24,13:40:00,19.04897,72.92427,25.0,Male
Maharashtra,Nagpur,Fraud,2022-08-26,14:17:00,21.16449,79.01819,33.0,Male
Uttar Pradesh,Kanpur,Assault,2023-04-02,18:08:00,26.48301,80.39421,65.0,Female
Tamil Nadu,Coimbatore,Burglary,2024-02-07,08:02:00,11.02007,76.94772,59.0,Female
Telangana,Warangal,Cybercrime,2021-11-26,04:24:00,18.00787,79.59011,66.0,Female
Uttar Pradesh,Kanpur,Vehicle Theft,2023-03-21,19:40:00,26.43772,80.31726,42.0,Female
Gujarat,Ahmedabad,Burglary,2024-11-02,14:56:00,22.99817,72.55868,57.0,Female
Gujarat,Ahmedabad,Assault,2024-02-07,02:42:00,22.9836,72.56636,27.0,Male
Delhi,Rohini,Theft,2023-05-05,09:33:00,28.76586,77.06748,31.0,Female
Tamil Nadu,Chennai,Domestic Violence,2021-11-26,19:15:00,13.02205,80.27635,49.0,Female
Uttar Pradesh,Kanpur,Vandalism,2021-11-16,04:46:00,26.44793,80.32799,59.0,Female
Karnataka,Mysuru,Assault,2023-05-23,05:08:00,12.29493,76.66346,44.0,Male
Delhi,Dwarka,Burglary,2022-07-15,05:29:00,28.58834,76.98022,32.0,Male
West Bengal,Howrah,Theft,2021-04-07,11:52:00,22.63253,88.29058,16.0,Male
Uttar Pradesh,Lucknow,Cybercrime,2023-04-11,11:02:00,26.8982,80.95249,19.0,Female
Tamil Nadu,Chennai,Vehicle Theft,2023-10-13,19:22:00,13.03166,80.26354,44.0,Female
Telangana,Warangal,Kidnapping,2021-05-01,06:50:00,18.03479,79.61447,34.0,Male
West Bengal,Kolkata,Burglary,2021-02-06,10:05:00,22.58034,88.36837,37.0,Female
Uttar Pradesh,Noida,Burglary,2021-09-25,11:05:00,28.55343,77.40994,46.0,Female
Tamil Nadu,Chennai,Cybercrime,2023-06-20,18:29:00,13.07364,80.33062,16.0,Female
Delhi,Rohini,Assault,2023-04-24,22:49:00,28.68345,77.07867,19.0,Male
Delhi,Dwarka,Theft,2022-11-16,19:54:00,28.59338,77.08584,64.0,Male
Delhi,Dwarka,Vehicle Theft,2024-02-12,17:33:00,28.53771,77.06008,51.0,Male
Gujarat,Ahmedabad,Vehicle Theft,2024-11-15,15:41:00,22.99853,72.54209,43.0,Female
Delhi,New Delhi,theft,2024-09-20,19:45:00,28.62419,77.22281,29.0,Male
Telangana,Warangal,Robbery,2024-10-01,15:10:00,18.04276,79.60809,61.0,Male
Telangana,Hyderabad,Assault,2023-11-26,05:23:00,17.32759,78.51815,56.0,Male
Karnataka,Mysuru,assault,2024-05-16,05:10:00,12.26521,76.63311,42.0,Female
Maharashtra,Nagpur,Assault,2023-04-17,13:26:00,21.13423,79.0323,32.0,Female
Delhi,Dwarka,Vehicle Theft,2024-10-19,17:03:00,28.57151,77.09212,33.0,Male
Delhi,New Delhi,Burglary,2023-10-20,08:14:00,28.5895,77.20773,41.0,Female
Delhi,Rohini,Assault,2021-11-07,23:29:00,28.76663,77.10322,63.0,Female
Maharashtra,Nagpur,Domestic Violence,2022-11-19,16:31:00,21.14336,79.05892,45.0,Female
Maharashtra,Pune,Domestic Violence,2022-03-10,04:33:00,18.59178,73.82428,50.0,Male
Delhi,Rohini,Domestic Violence,2021-12-07,07:30:00,28.72842,77.07504,38.0,Female
West Bengal,Howrah,Fraud,2022-05-19,09:25:00,22.55314,88.25032,24.0,Male
Delhi,New Delhi,Domestic Violence,2022-11-01,16:17:00,28.63473,77.25208,45.0,Male
West Bengal,Kolkata,Theft,2021-07-07,16:05:00,22.5198,88.37762,46.0,Female
Delhi,New Delhi,Assault,2024-06-22,04:12:00,28.61824,77.15631,69.0,Male
Gujarat,Ahmedabad,Robbery,2023-11-03,01:34:00,23.01203,72.61297,63.0,Female
Uttar Pradesh,Kanpur,Vehicle Theft,2023-06-18,18:55:00,26.47472,80.29764,16.0,Male
West Bengal,Howrah,Assault,2021-09-02,20:48:00,22.60507,88.2596,69.0,Male
Gujarat,Ahmedabad,Robbery,2021-08-10,15:38:00,23.02503,72.57445,44.0,Male
Tamil Nadu,Chennai,Theft,2021-08-06,08:18:00,13.08839,80.25244,26.0,Female
West Bengal,Howrah,Assault,2024-07-23,17:04:00,22.56091,88.22394,59.0,Female
Maharashtra,Pune,cybercrime,2024-05-15,16:45:00,18.59375,73.89776,57.0,Female
Maharashtra,Pune,Theft,2023-04-07,15:19:00,18.5548,73.88738,64.0,Male
Maharashtra,Mumbai,Domestic Violence,2021-09-12,00:26:00,19.02743,72.88042,16.0,Female
West Bengal,Kolkata,Kidnapping,2022-10-08,16:40:00,22.59916,88.34317,68.0,Female
Gujarat,Surat,Assault,2021-03-23,19:31:00,21.22258,72.85577,55.0,Female
Tamil Nadu,Chennai,Cybercrime,2024-05-18,22:38:00,13.07017,80.34904,48.0,Male
Delhi,Rohini,Assault,2023-06-21,05:45:00,28.76103,77.09898,26.0,Female
Maharashtra,Mumbai,Assault,2024-08-11,06:25:00,19.06252,72.92139,44.0,Female
Karnataka,Mysuru,Cybercrime,2024-06-06,17:00:00,12.31181,76.63127,40.0,Male
Karnataka,Mysuru,Assault,2021-11-04,20:24:00,12.26554,76.61333,27.0,Male
Telangana,Warangal,Assault,2021-01-12,05:55:00,17.95897,79.58307,21.0,Male
Tamil Nadu,Chennai,Theft,2023-02-05,04:05:00,13.1064,80.29259,40.0,Female
Karnataka,Bengaluru,Theft,2022-12-11,02:42:00,12.96751,77.64926,21.0,Female
West Bengal,Howrah,Vandalism,2023-09-03,09:58:00,22.62511,88.23313,45.0,Male
Maharashtra,Pune,Kidnapping,2022-02-12,23:28:00,18.51496,73.88888,35.0,Female
Maharashtra,Pune,vehicle theft,2024-08-20,20:08:00,18.50138,73.87959,21.0,Male
Karnataka,Bengaluru,Burglary,2022-11-24,00:16:00,13.01826,77.59217,53.0,Female
Delhi,New Delhi,Theft,2023-03-16,06:41:00,28.5905,77.30079,33.0,Female
West Bengal,Howrah,Theft,2024-07-20,21:55:00,22.54069,88.24267,51.0,Female
Maharashtra,Nagpur,theft,2021-02-27,20:13:00,21.12988,79.06306,51.0,Male
Uttar Pradesh,Kanpur,Burglary,2023-10-01,22:38:00,26.4581,80.34635,63.0,Male
Delhi,Dwarka,Vehicle Theft,2024-03-10,,,,,Female
Gujarat,Ahmedabad,Cybercrime,2021-04-26,13:20:00,23.00619,72.5288,32.0,Female
Delhi,New Delhi,Cybercrime,2022-04-04,06:55:00,28.6146,77.17303,25.0,Female
Uttar Pradesh,Noida,Robbery,2023-11-05,14:49:00,28.59334,77.43828,30.0,Male
Maharashtra,Nagpur,Theft,2021-12-15,22:09:00,21.10781,79.06867,66.0,Female
Delhi,New Delhi,Vehicle Theft,2024-07-02,11:49:00,28.59162,77.23509,51.0,Female
Maharashtra,Pune,Cybercrime,2024-06-07,06:44:00,18.56265,73.84396,51.0,Female
West Bengal,Kolkata,Theft,2024-10-07,,,,,Female
Karnataka,Mysuru,Kidnapping,2023-03-03,13:19:00,12.28616,76.56352,47.0,Male
Maharashtra,Pune,Burglary,2022-02-11,06:50:00,18.48193,73.85518,62.0,Male
Telangana,Hyderabad,Burglary,2021-05-07,03:59:00,17.36455,78.54794,65.0,Male
Karnataka,Bengaluru,Cybercrime,2024-05-07,22:40:00,12.98054,77.57047,57.0,Male
Uttar Pradesh,Noida,Burglary,2024-03-24,11:05:00,28.52913,77.39878,48.0,Female
Telangana,Hyderabad,Cybercrime,2021-02-23,05:30:00,17.42651,78.50622,29.0,Male
Delhi,New Delhi,Assault,2024-01-13,21:24:00,28.5777,77.27893,18.0,Male
Karnataka,Bengaluru,Vandalism,2021-10-15,17:05:00,12.96304,77.58012,62.0,Male
West Bengal,Kolkata,Burglary,2023-03-06,05:06:00,22.5624,88.35137,60.0,Female
West Bengal,Kolkata,Theft,2022-06-21,13:47:00,22.51166,88.32724,65.0,Male
Tamil Nadu,Coimbatore,Theft,2021-04-11,14:15:00,11.00066,76.97707,27.0,Male
Maharashtra,Nagpur,Fraud,2022-08-02,16:34:00,21.15671,79.12075,33.0,Male
Gujarat,Ahmedabad,Burglary,2022-05-20,14:39:00,23.06079,72.56743,23.0,Male
Telangana,Warangal,Burglary,2024-04-18,03:55:00,18.00467,79.63671,33.0,Male
Delhi,Rohini,Vehicle Theft,2021-04-04,14:41:00,28.71185,77.05375,27.0,Female
West Bengal,Kolkata,Theft,2022-09-14,,,,,Male
Tamil Nadu,Chennai,Theft,2022-06-27,01:03:00,13.10877,80.27623,16.0,Female
Maharashtra,Nagpur,Fraud,2022-03-10,00:09:00,21.10824,79.11944,47.0,Male
Delhi,Dwarka,Theft,2022-11-02,18:54:00,28.61418,77.01115,21.0,Female
Gujarat,Ahmedabad,Robbery,2021-08-02,16:13:00,22.99948,72.62579,20.0,Female
West Bengal,Kolkata,Cybercrime,2024-03-20,13:59:00,22.54252,88.34833,22.0,Female
Uttar Pradesh,Kanpur,Theft,2021-07-17,22:45:00,26.41019,80.30661,29.0,Male
Maharashtra,Nagpur,Robbery,2021-02-24,03:08:00,21.16846,79.068,48.0,Male
Delhi,Dwarka,Robbery,2021-08-21,09:15:00,28.60838,77.05328,45.0,Female
Gujarat,Surat,Kidnapping,2024-10-25,17:38:00,21.19005,72.81091,19.0,Male
Delhi,New Delhi,Theft,2024-02-17,08:10:00,28.63012,77.26817,53.0,Female
Delhi,Rohini,Assault,2023-08-01,19:16:00,28.73407,77.07817,44.0,Female
Maharashtra,Nagpur,Robbery,2021-02-22,19:58:00,21.15855,79.08398,52.0,Male
Tamil Nadu,Chennai,theft,2022-02-14,08:05:00,13.06205,80.26845,39.0,Female
Delhi,New Delhi,Assault,2023-04-18,21:56:00,28.59541,77.18147,45.0,Male
Maharashtra,Nagpur,Assault,2023-04-22,14:52:00,21.1693,79.03516,43.0,Female
Tamil Nadu,Chennai,Vehicle Theft,2023-01-08,19:05:00,13.06164,80.28695,20.0,Male
Maharashtra,Mumbai,Robbery,2021-04-02,00:28:00,19.03514,72.83434,42.0,Male
Gujarat,Surat,Vandalism,2022-02-26,23:18:00,21.16381,72.86174,47.0,Female
Uttar Pradesh,Kanpur,Vehicle Theft,2024-05-15,03:19:00,26.46187,80.32071,41.0,Male
Maharashtra,Mumbai,Theft,2021-03-23,15:01:00,19.09712,72.84624,49.0,Male
Tamil Nadu,Chennai,Robbery,2022-09-16,13:29:00,13.11306,80.31281,35.0,Female
Gujarat,Ahmedabad,Vehicle Theft,2021-01-04,,,,,Female
Maharashtra,Mumbai,Cybercrime,2021-04-02,02:56:00,19.06146,72.89337,58.0,Female
Tamil Nadu,Chennai,Theft,2021-09-24,02:05:00,13.09079,80.27775,19.0,Female
Tamil Nadu,Coimbatore,Fraud,2023-07-17,04:50:00,11.02258,76.98948,63.0,Female
West Bengal,Kolkata,kidnapping,2022-04-19,00:04:00,22.62233,88.3377,28.0,Male
West Bengal,Howrah,Burglary,2024-11-15,04:20:00,22.58129,88.27485,25.0,Male
Uttar Pradesh,Kanpur,Cybercrime,2024-10-04,14:52:00,26.44368,80.31968,57.0,Female
Maharashtra,Nagpur,Burglary,2021-03-14,07:21:00,21.13401,79.14031,46.0,Female
Delhi,Rohini,Burglary,2021-05-08,14:51:00,28.7782,77.05482,47.0,Female
Uttar Pradesh,Lucknow,Theft,2023-05-12,00:53:00,26.82951,80.96461,15.0,Male
Karnataka,Mysuru,Assault,2023-01-18,21:31:00,12.32318,76.66828,40.0,Male
Telangana,Hyderabad,Vehicle Theft,2024-07-06,13:41:00,17.37168,78.47181,43.0,Male
Delhi,New Delhi,Theft,2022-09-07,23:38:00,28.5939,77.24306,16.0,Female
Maharashtra,Nagpur,Robbery,2021-06-18,20:04:00,21.1733,79.09652,42.0,Female
Maharashtra,Nagpur,Fraud,2022-07-10,06:52:00,21.08943,79.07608,42.0,Female
Delhi,Dwarka,Theft,2023-06-09,14:13:00,28.54316,77.03555,54.0,Male
Maharashtra,Nagpur,Domestic Violence,2022-05-08,15:06:00,21.15133,79.10418,37.0,Female
Maharashtra,Nagpur,Kidnapping,2024-06-23,17:33:00,21.13565,79.00689,39.0,Male
Uttar Pradesh,Lucknow,Vehicle Theft,2024-04-12,07:26:00,26.77922,80.95247,15.0,Female
Delhi,New Delhi,Assault,2021-02-24,03:20:00,28.62309,77.21274,29.0,Male
Gujarat,Surat,Robbery,2024-07-18,00:01:00,21.18876,72.82262,16.0,Male
Gujarat,Ahmedabad,Theft,2024-01-22,06:27:00,23.00293,72.5688,36.0,Male
Uttar Pradesh,Noida,Fraud,2021-08-11,07:28:00,28.4832,77.36713,32.0,Female
Tamil Nadu,Coimbatore,Assault,2023-05-15,16:25:00,10.96125,76.94017,24.0,Female
Karnataka,Mysuru,Assault,2022-09-03,20:54:00,12.31629,76.68913,45.0,Female
Delhi,Dwarka,Vehicle Theft,2022-12-01,22:51:00,28.53133,77.04988,46.0,Female
Delhi,Rohini,Robbery,2022-05-12,20:54:00,28.78285,77.06724,37.0,Female
Uttar Pradesh,Noida,Vehicle Theft,2023-09-14,10:48:00,28.54642,77.40675,43.0,Female
West Bengal,Howrah,Vandalism,2021-12-13,22:53:00,22.55762,88.27879,56.0,Male
West Bengal,Howrah,Vehicle Theft,2024-08-24,20:06:00,22.5974,88.26492,69.0,Male
Uttar Pradesh,Lucknow,Theft,2022-11-27,11:29:00,26.84587,80.89856,17.0,Male
Delhi,Dwarka,Fraud,2023-08-07,17:35:00,28.59909,77.01771,33.0,Female
Uttar Pradesh,Kanpur,Domestic Violence,2022-03-04,07:39:00,26.46374,80.39292,40.0,Male
Maharashtra,Mumbai,Domestic Violence,2024-08-15,06:20:00,19.0669,72.90987,17.0,Female
Gujarat,Ahmedabad,Kidnapping,2023-08-12,12:31:00,23.02355,72.55603,54.0,Female
Delhi,New Delhi,Fraud,2024-10-24,00:28:00,28.63599,77.21697,24.0,Female
Gujarat,Ahmedabad,Burglary,2024-06-08,07:35:00,23.06622,72.56975,36.0,Female
Uttar Pradesh,Lucknow,Fraud,2021-08-22,15:24:00,26.88666,80.96508,64.0,Female
Gujarat,Ahmedabad,Vehicle Theft,2023-10-11,07:26:00,22.9919,72.58632,59.0,Male
Maharashtra,Mumbai,Vandalism,2021-07-24,17:52:00,19.0867,72.86787,52.0,Male
Karnataka,Bengaluru,Vehicle Theft,2024-03-12,22:46:00,12.96163,77.54643,15.0,Female
Delhi,New Delhi,cybercrime,2021-05-09,12:36:00,28.61064,77.25584,46.0,Female
Tamil Nadu,Chennai,Theft,2024-04-08,23:30:00,13.07295,80.29589,49.0,Male
Telangana,Hyderabad,Vehicle Theft,2023-10-24,04:40:00,17.37701,78.46753,26.0,Male
Telangana,Warangal,Cybercrime,2024-05-13,14:18:00,18.00901,79.54288,18.0,Male
Telangana,Warangal,Burglary,2023-09-01,02:48:00,17.95321,79.61553,51.0,Female
Karnataka,Bengaluru,Assault,2022-03-12,20:45:00,12.93529,77.60872,31.0,Female
Delhi,Rohini,Theft,2022-07-05,21:25:00,28.74465,77.04875,27.0,Male
Gujarat,Surat,Domestic Violence,2021-09-11,05:15:00,21.23164,72.83335,38.0,Female
Tamil Nadu,Chennai,Assault,2023-11-17,17:17:00,13.05901,80.25359,58.0,Female
Karnataka,Bengaluru,Vehicle Theft,2022-04-24,,,,,Female
Tamil Nadu,Chennai,Theft,2021-08-10,08:57:00,13.12675,80.2721,52.0,Male
Delhi,Dwarka,theft,2024-07-07,18:59:00,28.56904,77.02862,38.0,Male
Maharashtra,Mumbai,Domestic Violence,2022-02-07,10:34:00,19.11175,72.85596,19.0,Male
Uttar Pradesh,Lucknow,Cybercrime,2024-06-24,17:42:00,26.84508,81.00666,62.0,Female
Telangana,Warangal,Fraud,2024-05-20,09:48:00,18.01372,79.57442,24.0,Female
West Bengal,Howrah,Fraud,2021-06-20,19:46:00,22.55562,88.21632,58.0,Female
Uttar Pradesh,Lucknow,Kidnapping,2024-03-25,10:34:00,26.88969,80.93421,55.0,Female
Delhi,New Delhi,Robbery,2024-10-22,10:38:00,28.6327,77.21944,26.0,Female
West Bengal,Kolkata,Robbery,2021-03-07,20:52:00,22.58507,88.35112,62.0,Male
Uttar Pradesh,Kanpur,Assault,2021-10-18,11:22:00,26.45311,80.34564,33.0,Male
Gujarat,Ahmedabad,Vandalism,2021-06-09,09:05:00,22.99158,72.58933,38.0,Female
Telangana,Warangal,burglary,2021-08-08,15:39:00,17.94649,79.60203,66.0,Female
Telangana,Hyderabad,Vehicle Theft,2024-06-20,14:04:00,17.38243,78.42884,51.0,Male
Tamil Nadu,Coimbatore,Kidnapping,2022-03-10,12:41:00,10.9802,76.95349,66.0,Female
Karnataka,Mysuru,Burglary,2023-09-09,00:01:00,12.28964,76.65691,21.0,Female
West Bengal,Howrah,Fraud,2023-05-01,06:07:00,22.57255,88.23718,15.0,Female
Delhi,New Delhi,Theft,2021-06-18,18:37:00,28.63489,77.23705,66.0,Female
Telangana,Hyderabad,Vehicle Theft,2021-01-20,10:18:00,17.39241,78.46493,36.0,Male
Uttar Pradesh,Noida,fraud,2024-06-17,02:32:00,28.52036,77.43733,35.0,Female
Karnataka,Bengaluru,Burglary,2024-12-18,14:36:00,13.05499,77.583,41.0,Female
Tamil Nadu,Chennai,Assault,2022-09-19,23:02:00,13.06405,80.26466,34.0,Female
Telangana,Warangal,Cybercrime,2021-08-02,23:53:00,17.93984,79.60591,42.0,Female
Delhi,New Delhi,Assault,2022-07-08,22:22:00,28.61205,77.24409,29.0,Male
Tamil Nadu,Coimbatore,Assault,2023-09-12,01:00:00,11.02961,76.97138,40.0,Male
Karnataka,Bengaluru,Burglary,2024-04-16,00:15:00,12.91443,77.60525,22.0,Male
Telangana,Hyderabad,Theft,2024-02-16,23:38:00,17.38628,78.54044,37.0,Male
Maharashtra,Nagpur,Robbery,2022-07-25,11:42:00,21.10169,79.08286,46.0,Female
Maharashtra,Nagpur,kidnapping,2022-04-14,03:50:00,21.13938,79.09703,51.0,Female
Gujarat,Surat,Burglary,2023-01-11,20:08:00,21.1821,72.83903,55.0,Female
Telangana,Warangal,Vehicle Theft,2021-05-14,16:05:00,17.97612,79.5995,59.0,Female
Telangana,Hyderabad,Vehicle Theft,2023-10-24,06:23:00,17.37868,78.47713,37.0,Female
Gujarat,Surat,Cybercrime,2024-06-14,05:51:00,21.2343,72.82567,62.0,Male
Delhi,New Delhi,Vehicle Theft,2023-09-23,02:08:00,28.60444,77.20391,58.0,Female
Delhi,Dwarka,Theft,2023-06-02,06:26:00,28.58918,77.12819,33.0,Female
Maharashtra,Pune,Theft,2021-10-06,07:36:00,18.50955,73.85875,32.0,Male
Uttar Pradesh,Lucknow,Domestic Violence,2024-04-04,10:20:00,26.86842,80.91049,67.0,Male
Maharashtra,Mumbai,Vandalism,2023-02-26,16:06:00,19.08545,72.89389,44.0,Male
Delhi,Rohini,Burglary,2024-05-10,02:25:00,28.73389,77.0333,42.0,Male
Delhi,Dwarka,Theft,2024-12-15,17:11:00,28.60171,77.08307,65.0,Male
Uttar Pradesh,Lucknow,Vehicle Theft,2024-08-11,02:35:00,26.81053,80.90359,39.0,Male
Karnataka,Bengaluru,Burglary,2021-02-13,01:59:00,13.02473,77.57491,44.0,Male
Uttar Pradesh,Lucknow,Burglary,2021-03-07,00:40:00,26.92039,80.89815,20.0,Male
Delhi,Dwarka,Assault,2023-12-24,09:14:00,28.57773,77.00639,18.0,Male
Telangana,Hyderabad,Theft,2021-08-08,06:59:00,17.39469,78.47752,24.0,Male
West Bengal,Kolkata,Burglary,2023-10-13,23:05:00,22.53035,88.32097,68.0,Male
Tamil Nadu,Chennai,Domestic Violence,2023-10-07,22:26:00,13.08926,80.30599,50.0,Female
Gujarat,Ahmedabad,Assault,2023-10-18,05:32:00,22.99787,72.59209,60.0,Female
West Bengal,Kolkata,Fraud,2024-06-14,18:41:00,22.55119,88.43552,22.0,Female
Karnataka,Mysuru,Burglary,2021-05-10,01:43:00,12.2722,76.6685,24.0,Female
Tamil Nadu,Chennai,Fraud,2022-11-05,07:18:00,13.07582,80.24588,67.0,Male
Gujarat,Surat,theft,2023-06-16,05:07:00,21.17658,72.83804,55.0,Female
Telangana,Warangal,Theft,2024-05-11,15:36:00,18.00126,79.60382,38.0,Female
Tamil Nadu,Chennai,Vehicle Theft,2023-01-05,22:27:00,13.04928,80.2832,31.0,Female
Maharashtra,Mumbai,Vehicle Theft,2024-12-09,12:01:00,19.09406,72.85664,48.0,Male
Maharashtra,Nagpur,Fraud,2024-06-06,03:13:00,21.17286,79.0962,23.0,Female
Karnataka,Mysuru,Domestic Violence,2022-04-16,15:26:00,12.32999,76.64985,45.0,Female
Maharashtra,Nagpur,Robbery,2023-08-25,11:31:00,21.19126,79.11703,63.0,Female
West Bengal,Howrah,Fraud,2022-04-24,14:21:00,22.56938,88.23406,62.0,Female
Gujarat,Surat,Domestic Violence,2024-05-11,10:59:00,21.15615,72.84862,59.0,Male
West Bengal,Howrah,Domestic Violence,2023-09-22,15:03:00,22.59079,88.26577,38.0,Male
Maharashtra,Mumbai,Fraud,2023-10-20,04:47:00,19.07104,72.86001,58.0,Male
Maharashtra,Pune,Vehicle Theft,2022-04-02,00:05:00,18.53716,73.86727,52.0,Female
Delhi,Dwarka,Assault,2023-06-13,17:34:00,28.58905,77.05335,17.0,Male
Uttar Pradesh,Kanpur,Theft,2023-07-18,06:31:00,26.44676,80.32818,62.0,Male
Delhi,Rohini,Assault,2021-05-15,15:27:00,28.70953,77.04226,31.0,Female
Karnataka,Bengaluru,fraud,2021-07-10,14:33:00,12.97334,77.58288,69.0,Male
Uttar Pradesh,Noida,Robbery,2021-05-14,11:55:00,28.55764,77.4593,65.0,Male
Delhi,New Delhi,Vehicle Theft,2021-01-12,17:59:00,28.63853,77.22209,45.0,Female
West Bengal,Howrah,Domestic Violence,2021-09-05,21:06:00,22.58545,88.28627,61.0,Male
Maharashtra,Pune,Robbery,2024-10-07,04:40:00,18.50072,73.87241,18.0,Female
Uttar Pradesh,Lucknow,Assault,2022-04-04,13:34:00,26.82499,80.92663,33.0,Male
Delhi,Rohini,Cybercrime,2022-03-09,00:44:00,28.73687,77.06058,33.0,Female
Telangana,Warangal,Theft,2023-12-16,09:15:00,17.94642,79.57573,40.0,Female
Tamil Nadu,Coimbatore,Theft,2023-03-14,09:48:00,11.01067,76.96355,62.0,Female
Telangana,Warangal,Vehicle Theft,2024-06-14,12:43:00,17.97451,79.542,32.0,Male
Gujarat,Ahmedabad,fraud,2022-05-08,03:09:00,23.03384,72.61115,25.0,Female
Maharashtra,Nagpur,assault,2021-07-26,22:16:00,21.10564,79.08123,38.0,Male
West Bengal,Howrah,Cybercrime,2023-07-09,10:29:00,22.61421,88.26521,59.0,Female
Gujarat,Ahmedabad,Fraud,2022-09-24,02:12:00,23.0353,72.5811,66.0,Female
Gujarat,Ahmedabad,Robbery,2024-01-27,08:07:00,23.02213,72.58253,48.0,Female
Delhi,Rohini,Theft,2024-07-27,21:36:00,28.77066,77.08429,25.0,Male
Telangana,Warangal,Fraud,2022-05-06,10:10:00,17.98755,79.56973,47.0,Female
Tamil Nadu,Chennai,Vandalism,2023-04-10,17:00:00,13.08327,80.29663,24.0,Male
Telangana,Warangal,Cybercrime,2021-07-24,19:13:00,17.9744,79.63539,29.0,Male
Gujarat,Surat,Fraud,2024-10-11,14:49:00,21.18628,72.92913,52.0,Male
Telangana,Hyderabad,Vehicle Theft,2022-01-01,17:22:00,17.41215,78.52187,61.0,Female
Gujarat,Ahmedabad,Vehicle Theft,2021-01-23,16:04:00,23.02913,72.57778,58.0,Female
West Bengal,Howrah,Theft,2021-02-19,13:05:00,22.56454,88.24044,27.0,Female
Telangana,Hyderabad,Vehicle Theft,2024-06-23,13:10:00,17.42897,78.47897,47.0,Male
Tamil Nadu,Coimbatore,Robbery,2024-12-14,07:41:00,11.05053,77.00033,41.0,Female
West Bengal,Howrah,Vandalism,2023-12-21,14:07:00,22.62203,88.24287,39.0,Male
Uttar Pradesh,Kanpur,Burglary,2024-02-11,12:05:00,26.41652,80.34284,24.0,Male
Uttar Pradesh,Noida,Domestic Violence,2021-03-01,23:31:00,28.52365,77.36225,26.0,Male
Maharashtra,Nagpur,Domestic Violence,2023-04-14,03:49:00,21.12458,79.0676,54.0,Male
Telangana,Hyderabad,Cybercrime,2023-01-10,13:26:00,17.42344,78.48924,33.0,Male
Telangana,Warangal,Fraud,2024-09-14,00:35:00,18.01088,79.57233,30.0,Female
